1643:30094,30069,30040,30038,30040,30040,30040,30029,30046,30040,30011,30040,30040,30073,30000,30058,30098,30022,30040,30038,30055,30031,30040,30031,30038,30040,30031,30038,30017,30054,30001,30031,30040,30098,30040,30036,30040,30040,30040,30031,30040,30040,30073,30040,30040,30040,30040,30034,30031,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30043,30029,30029,30029,30029,30029,30029,30029,30029,30029,30029,30029,30029
1641:30084,30084,30082,30023,30023,30097,30055,30084,30090,30077,30084,30023,30097,30002,30084,30019,30084,30023,30023,30023,30044,30097,30084,30040,30023,30075,30023,30023,30023,30023,30023,30023,30023,30084,30040,30014,30084,30084,30023,30095,30095,30023,30065,30023,30084,30069,30023,30023,30023,30023,30023,30023,30023,30023,30023,30023,30023,30023,30023,30023,30023,30023,30023,30023,30023,30023,30023,30023,30023,30023,30023,30023,30023,30023,30023,30023,30023,30023,30023,30023,30023,30023,30023,30023,30023,30023,30023,30023,30090,30090,30090,30090,30090,30090,30090,30090,30090,30090,30090,30090
1116:30094,30021,30053,30030,30053,30068,30053,30023,30068,30068,30068,30026,30068,30053,30068,30053,30068,30007,30068,30008,30068,30028,30095,30028,30028,30008,30053,30068,30068,30007,30068,30026,30053,30068,30028,30053,30053,30021,30068,30068,30053,30053,30068,30078,30068,30007,30053,30053,30048,30031,30031,30031,30031,30031,30031,30031,30031,30031,30031,30031,30031,30031,30031,30031,30031,30031,30031,30031,30031,30031,30031,30031,30031,30031,30031,30031,30031,30031,30031,30031,30031,30031,30031,30031,30031,30031,30031,30031,30008,30008,30008,30008,30008,30008,30008,30008,30008,30008,30008,30008
1646:30032,30097,30078,30078,30035,30005,30078,30084,30052,30097,30002,30078,30079,30097,30005,30005,30097,30087,30005,30068,30097,30097,30097,30097,30005,30059,30025,30097,30088,30087,30097,30060,30097,30005,30097,30079,30097,30043,30068,30097,30086,30079,30035,30032,30097,30087,30025,30005,30005,30087,30087,30087,30087,30087,30087,30087,30087,30087,30087,30087,30087,30087,30087,30087,30087,30087,30087,30087,30087,30087,30087,30087,30087,30087,30087,30087,30087,30087,30087,30087,30087,30087,30087,30087,30087,30087,30087,30087,30002,30002,30002,30002,30002,30002,30002,30002,30002,30002,30002,30002
1119:30010,30010,30022,30010,30076,30022,30010,30080,30092,30010,30010,30010,30010,30021,30063,30010,30010,30010,30073,30051,30022,30010,30010,30061,30010,30065,30010,30065,30038,30061,30065,30021,30021,30076,30021,30062,30010,30061,30022,30010,30010,30010,30010,30065,30000,30010,30010,30076,30073,30076,30076,30076,30076,30076,30076,30076,30076,30076,30076,30076,30076,30076,30076,30076,30076,30076,30076,30076,30076,30076,30076,30076,30076,30076,30076,30076,30076,30076,30076,30076,30076,30076,30076,30076,30076,30076,30076,30076,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
1120:30059,30063,30040,30030,30059,30007,30059,30032,30059,30059,30057,30030,30059,30041,30032,30032,30049,30059,30057,30057,30040,30059,30059,30097,30059,30059,30059,30000,30032,30059,30067,30059,30032,30066,30032,30028,30059,30007,30059,30059,30059,30059,30032,30059,30075,30059,30075,30030,30059,30059,30059,30059,30059,30059,30059,30059,30059,30059,30059,30059,30059,30059,30059,30059,30059,30059,30059,30059,30059,30059,30059,30059,30059,30059,30059,30059,30059,30059,30059,30059,30059,30059,30059,30059,30059,30059,30059,30059,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
1649:30084,30008,30084,30049,30021,30084,30084,30084,30074,30084,30049,30086,30005,30049,30084,30084,30084,30084,30017,30031,30084,30005,30084,30084,30072,30076,30084,30084,30050,30084,30084,30084,30008,30064,30084,30084,30084,30052,30084,30084,30005,30084,30084,30084,30049,30050,30094,30031,30084,30049,30049,30049,30049,30049,30049,30049,30049,30049,30049,30049,30049,30049,30049,30049,30049,30049,30049,30049,30049,30049,30049,30049,30049,30049,30049,30049,30049,30049,30049,30049,30049,30049,30049,30049,30049,30049,30049,30049,30005,30005,30005,30005,30005,30005,30005,30005,30005,30005,30005,30005
1650:30085,30071,30085,30006,30038,30085,30040,30085,30029,30085,30091,30084,30085,30025,30028,30084,30085,30085,30071,30025,30098,30084,30029,30081,30085,30085,30079,30084,30084,30029,30085,30085,30018,30085,30085,30091,30084,30085,30081,30085,30085,30035,30069,30084,30085,30096,30084,30069,30085,30083,30083,30083,30083,30083,30083,30083,30083,30083,30083,30083,30083,30083,30083,30083,30083,30083,30083,30083,30083,30083,30083,30083,30083,30083,30083,30083,30083,30083,30083,30083,30083,30083,30083,30083,30083,30083,30083,30083,30006,30006,30006,30006,30006,30006,30006,30006,30006,30006,30006,30006
1122:30073,30073,30091,30033,30073,30057,30099,30073,30073,30048,30098,30055,30073,30007,30048,30073,30048,30048,30073,30073,30048,30073,30098,30073,30073,30048,30048,30098,30076,30073,30073,30033,30033,30073,30073,30073,30041,30073,30052,30073,30048,30066,30073,30055,30073,30004,30023,30047,30033,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30073,30004,30004,30004,30004,30004,30004,30004,30004,30004,30004,30004,30004
1652:30065,30051,30067,30041,30051,30096,30051,30018,30051,30086,30084,30051,30026,30051,30026,30026,30051,30026,30051,30055,30051,30026,30045,30051,30075,30083,30051,30010,30071,30080,30084,30065,30026,30065,30081,30055,30051,30051,30051,30072,30026,30018,30051,30083,30026,30051,30026,30002,30026,30051,30051,30051,30051,30051,30051,30051,30051,30051,30051,30051,30051,30051,30051,30051,30051,30051,30051,30051,30051,30051,30051,30051,30051,30051,30051,30051,30051,30051,30051,30051,30051,30051,30051,30051,30051,30051,30051,30051,30002,30002,30002,30002,30002,30002,30002,30002,30002,30002,30002,30002
