1024:30002,30098,30017,30049,30049,30083,30098,30098,30034,30043,30098,30049,30098,30098,30098,30098,30049,30099,30098,30049,30098,30098,30049,30098,30049,30098,30088,30049,30034,30098,30049,30091,30098,30098,30025,30049,30098,30002,30098,30049,30091,30098,30088,30098,30098,30098,30088,30088,30098,30088
1025:30027,30027,30000,30027,30011,30027,30000,30093,30027,30027,30040,30018,30027,30045,30027,30027,30093,30079,30027,30027,30011,30011,30072,30045,30012,30029,30027,30061,30027,30027,30011,30009,30076,30027,30011,30081,30072,30093,30027,30011,30011,30033,30027,30002,30027,30027,30045,30045,30027,30099
1026:30029,30029,30040,30029,30022,30027,30029,30056,30029,30095,30067,30039,30039,30057,30029,30060,30029,30067,30095,30039,30015,30057,30029,30029,30029,30039,30039,30027,30040,30057,30045,30095,30033,30029,30029,30041,30025,30012,30045,30039,30039,30030,30020,30029,30064,30045,30029,30029,30039,30045
1030:30040,30040,30031,30027,30040,30005,30067,30025,30090,30031,30051,30031,30040,30040,30031,30031,30036,30000,30092,30092,30031,30031,30026,30040,30040,30031,30040,30078,30031,30031,30014,30040,30022,30050,30031,30031,30031,30000,30040,30075,30031,30023,30057,30045,30040,30000,30031,30092,30031,30010
1032:30044,30085,30086,30084,30044,30086,30019,30086,30003,30031,30086,30086,30044,30085,30036,30086,30087,30044,30086,30086,30019,30085,30028,30019,30018,30018,30085,30085,30047,30086,30064,30086,30086,30050,30086,30044,30086,30085,30096,30086,30086,30086,30085,30072,30086,30085,30052,30086,30065,30019
1033:30026,30031,30065,30053,30031,30031,30031,30059,30031,30082,30031,30090,30080,30031,30031,30031,30059,30048,30098,30031,30031,30031,30031,30082,30007,30031,30059,30031,30076,30015,30031,30031,30023,30059,30026,30048,30031,30031,30059,30031,30007,30031,30031,30007,30031,30031,30098,30082,30031,30033
1039:30081,30074,30081,30081,30008,30067,30081,30081,30057,30008,30086,30081,30081,30011,30081,30087,30008,30011,30040,30011,30011,30002,30081,30081,30086,30081,30088,30081,30081,30004,30086,30011,30048,30025,30075,30099,30008,30086,30026,30008,30081,30088,30056,30086,30087,30081,30072,30081,30081,30048
1040:30094,30054,30054,30094,30065,30036,30094,30040,30019,30010,30023,30094,30057,30094,30010,30094,30020,30010,30010,30054,30019,30010,30092,30038,30010,30010,30094,30094,30094,30057,30094,30094,30073,30010,30054,30089,30094,30059,30022,30010,30094,30085,30094,30094,30085,30094,30094,30068,30042,30094
1041:30002,30030,30041,30002,30030,30041,30041,30034,30075,30041,30002,30096,30041,30073,30070,30041,30002,30041,30041,30043,30073,30002,30041,30073,30041,30041,30041,30070,30073,30061,30041,30092,30073,30002,30041,30002,30016,30038,30041,30041,30041,30005,30042,30041,30002,30041,30013,30064,30023,30002
1043:30036,30039,30069,30036,30056,30069,30039,30040,30036,30036,30036,30036,30036,30036,30040,30023,30032,30036,30036,30036,30040,30024,30036,30036,30011,30036,30069,30007,30070,30039,30001,30036,30036,30040,30036,30093,30069,30069,30036,30036,30089,30061,30036,30036,30011,30040,30014,30036,30023,30036
1044:30054,30024,30024,30055,30055,30073,30053,30045,30024,30043,30054,30054,30054,30082,30006,30000,30054,30049,30054,30054,30054,30051,30027,30054,30055,30047,30054,30073,30054,30064,30066,30049,30054,30054,30066,30097,30005,30054,30045,30024,30054,30054,30056,30033,30066,30073,30054,30049,30054,30068
1048:30060,30084,30088,30052,30086,30052,30088,30088,30052,30088,30052,30072,30052,30052,30052,30081,30072,30079,30058,30072,30052,30072,30042,30086,30009,30072,30072,30060,30005,30052,30088,30060,30052,30052,30052,30052,30052,30072,30081,30072,30060,30001,30052,30052,30073,30004,30088,30081,30052,30052
1051:30020,30000,30033,30000,30039,30076,30020,30041,30041,30043,30000,30000,30040,30000,30072,30041,30041,30041,30043,30093,30041,30088,30000,30032,30043,30039,30000,30038,30054,30097,30020,30045,30088,30000,30000,30000,30000,30000,30012,30000,30062,30000,30000,30095,30000,30000,30041,30000,30000,30072
1059:30098,30070,30033,30070,30019,30083,30070,30081,30033,30070,30010,30070,30033,30070,30007,30033,30070,30000,30000,30033,30019,30033,30070,30070,30033,30070,30000,30004,30070,30070,30070,30070,30070,30085,30033,30000,30098,30070,30070,30066,30000,30070,30004,30052,30070,30019,30000,30070,30081,30068
1060:30064,30064,30070,30064,30016,30027,30064,30008,30056,30064,30028,30008,30064,30008,30008,30008,30070,30008,30081,30064,30019,30008,30008,30070,30064,30008,30064,30008,30016,30064,30064,30087,30070,30008,30008,30064,30087,30027,30064,30003,30027,30008,30087,30096,30064,30070,30064,30016,30043,30064
1061:30077,30096,30003,30091,30008,30003,30096,30091,30091,30095,30096,30049,30096,30096,30013,30003,30096,30096,30003,30096,30003,30049,30077,30077,30096,30096,30003,30091,30096,30049,30011,30096,30096,30000,30020,30093,30077,30096,30091,30049,30096,30044,30018,30096,30096,30096,30096,30021,30077,30096
1064:30088,30088,30011,30088,30088,30019,30011,30057,30080,30011,30048,30075,30088,30001,30017,30088,30088,30088,30019,30026,30011,30088,30069,30011,30011,30053,30088,30088,30087,30011,30088,30088,30063,30011,30011,30088,30088,30065,30053,30093,30093,30093,30019,30092,30092,30088,30011,30063,30030,30088
1065:30073,30093,30020,30057,30020,30064,30057,30030,30057,30057,30073,30046,30073,30057,30057,30073,30057,30053,30051,30057,30073,30021,30001,30073,30073,30073,30057,30073,30058,30073,30073,30080,30073,30057,30063,30073,30020,30073,30027,30073,30073,30053,30017,30073,30093,30020,30021,30073,30004,30073
1066:30082,30010,30082,30082,30067,30022,30022,30067,30053,30097,30082,30072,30097,30082,30022,30067,30050,30055,30082,30082,30067,30082,30009,30016,30082,30053,30067,30082,30094,30082,30053,30082,30097,30016,30082,30097,30097,30022,30053,30053,30082,30082,30082,30082,30030,30082,30082,30097,30016,30082
1071:30071,30032,30032,30032,30032,30032,30096,30032,30032,30032,30007,30032,30032,30032,30059,30032,30032,30032,30019,30032,30097,30032,30032,30020,30066,30015,30032,30097,30097,30007,30066,30097,30032,30097,30066,30032,30062,30018,30016,30016,30007,30030,30061,30015,30032,30032,30032,30015,30032,30097
1072:30050,30088,30095,30050,30050,30083,30034,30064,30050,30050,30050,30023,30095,30095,30050,30095,30050,30077,30062,30050,30005,30044,30050,30050,30050,30050,30050,30064,30050,30050,30074,30050,30050,30088,30064,30050,30019,30098,30064,30069,30050,30050,30064,30058,30044,30050,30019,30064,30064,30050
1073:30046,30079,30046,30081,30040,30096,30050,30040,30046,30019,30040,30046,30046,30030,30040,30046,30046,30007,30013,30079,30081,30051,30046,30019,30081,30028,30050,30076,30069,30046,30046,30040,30086,30046,30013,30028,30046,30046,30046,30046,30046,30040,30040,30040,30046,30096,30028,30046,30046,30040
1075:30005,30065,30018,30065,30025,30020,30032,30032,30065,30065,30068,30065,30023,30065,30023,30065,30023,30023,30084,30023,30065,30065,30025,30022,30023,30020,30065,30023,30068,30020,30052,30065,30023,30087,30086,30065,30077,30020,30070,30065,30065,30033,30023,30065,30097,30065,30023,30065,30065,30084
1078:30057,30019,30012,30019,30019,30083,30019,30019,30019,30072,30019,30010,30083,30029,30072,30029,30019,30019,30096,30019,30019,30019,30083,30019,30029,30019,30019,30019,30020,30029,30014,30019,30004,30019,30019,30098,30089,30019,30019,30029,30083,30054,30019,30072,30060,30004,30029,30029,30029,30019
1080:30006,30006,30008,30084,30006,30064,30008,30075,30006,30046,30006,30085,30006,30006,30006,30002,30042,30085,30006,30006,30065,30075,30013,30075,30006,30006,30026,30006,30075,30033,30085,30006,30006,30006,30085,30075,30006,30006,30064,30023,30075,30006,30099,30076,30006,30006,30023,30009,30006,30023
1082:30017,30058,30072,30017,30017,30017,30036,30017,30017,30058,30017,30017,30017,30008,30017,30017,30072,30017,30040,30087,30024,30017,30017,30048,30040,30006,30072,30051,30017,30019,30017,30017,30017,30017,30040,30017,30017,30087,30017,30017,30017,30072,30049,30072,30017,30007,30008,30008,30007,30088
1084:30091,30059,30035,30068,30035,30068,30091,30096,30045,30006,30068,30068,30061,30024,30085,30068,30068,30076,30068,30068,30068,30059,30059,30031,30061,30059,30072,30091,30068,30067,30091,30068,30069,30045,30050,30068,30037,30059,30045,30035,30035,30035,30035,30068,30068,30020,30035,30059,30059,30068
